text,summary
"The 50th anniversary of English rock band The Beatles' visit to Maharishi Mahesh Yogi ashram was celebrated in Uttarakhand's Rishikesh. The band had visited the ashram to practice transcendental meditation in 1968 and had written nearly 50 songs there. The ashram, now commonly known as 'Beatles Ashram', has been turned into an eco-friendly tourism destination by the state authorities.",द बीटल्स की 50 वीं वर्षगांठ का जश्न उखंड में मनाया गया 
"The CBI on Tuesday detained Vipul Chitalia, Vice-President (Banking Operations) of Mehul Choksi-owned Gitanjali Group, at Mumbai Airport for questioning over the $2-billion PNB fraud case. The CBI is reportedly checking if Chitalia was a signatory authority at any stage while obtaining the Letters of Undertakings fraudulently. So far, at least 18 arrests have been made in the case.",CBI ने मुंबई एयरपोर्ट पर गीतांजलि ग्रुप VP को हिरासत में लिया 
"HafÃÂ¾ÃÂ³r BjÃÂ¶rnsson, the actor who plays 'The Mountain' in Game of Thrones, won the Bag Over Bar competition at Arnold Strongman Classic by tossing a 43-kg sandbag over a 15-foot bar. The event required athletes to throw a sandbag over the bar in a 30-second time frame. BjÃÂ¶rnsson successfully achieved it on his second attempt with five seconds left.",गेम ऑफ थ्रोन्स के अभिनेता ने 15 फुट बार में 43 किलो के सैंडबैग फेंके 
"Five men allegedly stole $5 million (Ã¢ÂÂ¹32.5 crore) in cash, which had been due to travel to Switzerland aboard a Lufthansa cargo plane, at a freight airport in Brazil on Sunday. The thieves, who entered the airport in a truck with stickers mimicking runway security company's logo, threatened security personnel on the runway before escaping within six minutes.",लुफ्थांसा कार्गो प्लेन से 6 मिनट में चोरों ने $ 5 मिलियन की चोरी की 
"The US government's defence agency DARPA is hoping to tap into survival techniques of tardigrades, Earth's most resilient creatures, to save soldiers injured on the battlefield. The Pentagon aims to develop ways to slow down biochemical processes in living cells, giving wounded soldiers sufficient time between the point of injury and receiving the first medical treatment.",सैनिकों में जीवित रहने की दर में सुधार करने के लिए अमेरिका ने टार्डिग्रेड्स का अध्ययन किया 
"The Supreme Court on Tuesday stayed proposed changes to Delhi Master Plan for 2021, aimed at granting protection to traders from the sealing drive in the National Capital. Rapping the Delhi government and Delhi Development Authority for not filing affidavits on the assessment of the environmental impact of the changes, the court said, ""This dadagiri has to stop.""",सुप्रीम कोर्ट ने दिल्ली मास्टर प्लान 2021 में किया संशोधन 
"Ryoko Azuma was on Tuesday appointed as the Commander of the First Escort Division of the Japan Maritime Self-Defense Force, becoming the first woman to command a warship squadron. She will command four ships with a combined crew of 1,000. Adding that she wants to inspire others, the 44-year-old said she will concentrate her energy on fulfilling her duties.",जापान नौसेना ने युद्धपोत स्क्वाड्रन की कमान संभालने वाली पहली महिला की नियुक्ति की 
"US Ambassador Nikki Haley has accused the UN of ""bullying"" Israel, saying that her country won't tolerate a situation where the world body of 198 countries spends half of its time in attacking the Jewish nation. The UN had last year rejected the US' recognition of Jerusalem as Israel's capital despite a rival claim on Jerusalem by Palestine.",संयुक्त राष्ट्र अपने समय के आधे से अधिक खर्च इजरायल को बदनाम करता है: यू.एस. 
"A still from Varun Dhawan and Anushka Sharma starrer 'Sui Dhaaga' has been shared online. ""Mauji takes Mamta for a cycle ride! Anushka Sharma rode pillion as Varun Dhawan cycled for close to 10 hours in the sweltering heat at Chanderi,"" read the caption. The film, which reportedly centres around the Make in India campaign, will release on September 28.","फिर भी वरुण से, अनुष्का स्टारर 'सुई धागा' को ऑनलाइन साझा किया "
"Spanish female racing driver Carmen Jorda has suggested women could be better suited to Formula E than Formula One as the all-electric cars are less physically challenging. The comments, which drew criticism from several women racers, were made after the 29-year-old former Lotus and Renault F1 development driver tried out a Formula E car in Mexico City.","महिलाओं के लिए एफ 1 से बेहतर फॉर्मूला ई, स्पेनिश महिला रेसर का कहना है "
