headlines,text
Paytm appoints VP Amit Sinha as COO of Paytm Mall,"Amit Sinha, the Vice President of business and human resources at Paytm's parent company One97 Communications, has been appointed as the Chief Operating Officer of Paytm Mall. Associated with Paytm since 2007, Sinha will be responsible for Paytm Mall's overall operations, hiring, and logistics. Last year, Paytm de-merged its three-year-old e-commerce business into a separate unitâPaytm Mall."
India beat South Africa to reach Champions Trophy 2017 semis,"Defending champions India defeated South Africa by eight wickets in the Champions Trophy 2017 on Sunday to book a berth in the semi-finals. South Africa lost their last eight wickets for 51 runs as India effected three run-outs in the innings. AB de Villiers averaged 6.66 in the tournament, his lowest in an ODI series playing three or more innings."
Nadal first in Open Era to win a single Grand Slam 10 times,"Spanish tennis player Rafael Nadal became the first player in the Open Era to win a single Grand Slam title ten times, winning his 10th French Open on Sunday. Nadal, playing his 22nd Grand Slam final, defeated Stan Wawrinka 6-2, 6-3, 6-1 for his 15th Grand Slam title. Nadal's career record at Roland Garros reads 79 wins and two losses."
"Bengaluru gets Namma 100, police to reach spot in 15 minutes","Karnataka CM Siddaramaiah has inaugurated the upgraded version of police helpline Namma 100, where police officials will be deputed within 15 minutes to the spot of emergency, for Bengaluru. Based on the model adapted in London, which has helpline 999, and USA, where 911 helpline operates, Namma 100 helpline allows the public to access several facilities on a single number."
"Ashamed I had suicidal thoughts, says Katy in live video ","Singer Katy Perry has revealed that she felt ashamed to have suicidal thoughts during a segment of her ongoing live stream on YouTube. In a therapy session with celebrity psychologist Dr Siri Sat Nam Singh, Katy said, ""I feel ashamed that I would have those thoughts, feel that low and that depressed."""
Indian Army Chief talks like sadak ka gunda: Congress leader,"Congress leader Sandeep Dikshit on Sunday said that the Indian Army Chief Bipin Rawat talks like a 'sadak ka gunda'. Dikshit added, ""While this is expected from Pakistan, who are like the mafia, why does our own chief make such pronouncements?"" Slammed for his remarks on social media, Dikshit apologised, while saying, ""I genuinely believe what I said was wrong."""
Career's most important event: Nadal after 10th French Open,"Spaniard Rafael Nadal became the first tennis player in the Open Era to win a single Grand Slam event ten times following his 10th French Open title. Following his win, Nadal said, ""I play my best in all events but the feeling I have here is impossible to describe and difficult to compare to others."""
Venezuela enters 3rd month of anti-government protests,"Demonstrations across Venezuela demanding the resignation of President Nicolas Maduro for allegedly plunging the oil-rich economy into a crisis have entered their third month. At least 67 people, including minors and national guards, have died and around 1,000 protesters have been jailed as a result of the country's worst anti-government unrest since Maduro won the presidency in 2013."
Mastermind behind 'Blue Whale Challenge' arrested in Russia,"The mastermind behind 'Blue Whale Challenge', the online game which claimed the lives of 32 children by encouraging them to self-harm and kill themselves, has been arrested in Russia. Children who joined the game were told to cut themselves, watch horror films, and eventually, to commit suicide as part of a series of 'tasks' aimed at damaging their mental health."
Australia to build 1st terrorist jail to stop radicalisation,"Australia is planning to build its first prison solely for militants with extremist views to prevent radicalisation of other inmates. The move comes after a shooting and hostage situation in Melbourne that was claimed by the Islamic State. The jail is expected to house 54 inmates and will include soundproofing facilities, audio, and CCTV upgrades to improve intelligence gathering."
Did not seek US support to fight militants: Philippine Prez,"Philippine President Rodrigo Duterte has denied US' claim that he sought the country's support to fight ISIS-linked militants who have besieged the city of Marawi for over two weeks. He added that he was not aware of the assistance until US forces arrived in the city. Notably, Duterte had earlier pledged to throw US troops out of the country."
Food firm Conagra recalls 3L kg spaghetti and meatball items,"Food giant Conagra Brands has recalled over 3 lakh kilograms of spaghetti and meatball products because of undeclared allergens and misbranding. The recalled products from the company contain milk, an allergen that was not detailed on the product label, according to US authorities. Customers who purchased the products were urged to throw them away or return them."
